IDENTIFIER	BINCODE	NAME
'252130_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'261388_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245195_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'258956_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'262632_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'244964_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'262612_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245047_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'267569_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245023_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'263442_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'244972_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245050_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245021_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'255248_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'250371_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245213_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245003_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'244973_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'247073_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'246271_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'251031_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'264092_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'266979_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'254398_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'244963_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'265374_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'265149_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'251784_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'245002_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'267526_at'	'1.1.1.2'	'PS.lightreaction.photosystem II.PSII polypeptide subunits'
'257948_at'	'1.1.2'	'PS.lightreaction.photosystem I'
'251325_s_at'	'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'
'252430_at'	'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'
'251814_at'	'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'
'245806_at'	'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'
'256015_at'	'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'
'255982_at'	'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'
'265033_at'	'1.1.2.1'	'PS.lightreaction.photosystem I.LHC-I'
'255457_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'254790_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'244967_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'263114_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'256309_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'253738_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'259840_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'261746_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'258285_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'245006_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'245007_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'265287_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'264545_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'245017_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'266716_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'244932_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'262557_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'247320_at'	'1.1.2.2'	'PS.lightreaction.photosystem I.PSI polypeptide subunits'
'245044_at'	'1.1.3'	'PS.lightreaction.cytochrome b6/f'
'244977_at'	'1.1.3'	'PS.lightreaction.cytochrome b6/f'
'244976_at'	'1.1.3'	'PS.lightreaction.cytochrome b6/f'
'245020_at'	'1.1.3'	'PS.lightreaction.cytochrome b6/f'
'244965_at'	'1.1.3'	'PS.lightreaction.cytochrome b6/f'
'244966_at'	'1.1.3'	'PS.lightreaction.cytochrome b6/f'
'255435_at'	'1.1.3'	'PS.lightreaction.cytochrome b6/f'
'245000_at'	'1.1.3'	'PS.lightreaction.cytochrome b6/f'
'267152_at'	'1.1.4'	'PS.lightreaction.ATP synthase'
'253420_at'	'1.1.4'	'PS.lightreaction.ATP synthase'
'244995_at'	'1.1.4'	'PS.lightreaction.ATP synthase'
'245024_at'	'1.1.4.1'	'PS.lightreaction.ATP synthase.alpha subunit'
'245014_at'	'1.1.4.2'	'PS.lightreaction.ATP synthase.beta subunit'
'245013_at'	'1.1.4.3'	'PS.lightreaction.ATP synthase.epsilon chain'
'259485_at'	'1.1.4.4'	'PS.lightreaction.ATP synthase.gamma chain'
'255290_at'	'1.1.4.4'	'PS.lightreaction.ATP synthase.gamma chain'
'245026_at'	'1.1.4.5'	'PS.lightreaction.ATP synthase.subunit C'
'255046_at'	'1.1.4.7'	'PS.lightreaction.ATP synthase.delta chain'
'255659_at'	'1.1.4.7'	'PS.lightreaction.ATP synthase.delta chain'
'245025_at'	'1.1.4.8'	'PS.lightreaction.ATP synthase.subunit B (ATPF)'
'248975_at'	'1.1.5'	'PS.lightreaction.other electron carrier (ox/red)'
'255886_at'	'1.1.5.1'	'PS.lightreaction.other electron carrier (ox/red).plastocyanin'
'261769_at'	'1.1.5.1'	'PS.lightreaction.other electron carrier (ox/red).plastocyanin'
'253391_at'	'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'
'250555_at'	'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'
'260481_at'	'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'
'259727_at'	'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'
'258055_at'	'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'
'264179_at'	'1.1.5.2'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin'
'247131_at'	'1.1.5.3'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase'
'261218_at'	'1.1.5.3'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase'
'253479_at'	'1.1.5.3'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin reductase'
'262572_at'	'1.1.5.4'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin oxireductase'
'259210_at'	'1.1.5.4'	'PS.lightreaction.other electron carrier (ox/red).ferredoxin oxireductase'
'247816_at'	'1.1.6'	'PS.lightreaction.NADH DH'
'245010_at'	'1.1.6'	'PS.lightreaction.NADH DH'
'244934_at'	'1.1.6'	'PS.lightreaction.NADH DH'
'244962_at'	'1.1.6'	'PS.lightreaction.NADH DH'
'245012_at'	'1.1.6'	'PS.lightreaction.NADH DH'
'266329_at'	'1.1.6'	'PS.lightreaction.NADH DH'
'245011_at'	'1.1.6'	'PS.lightreaction.NADH DH'
'262175_at'	'1.1.6'	'PS.lightreaction.NADH DH'
'244994_at'	'1.1.6'	'PS.lightreaction.NADH DH'
'262288_at'	'1.1.6'	'PS.lightreaction.NADH DH'
'260036_at'	'1.1.30'	'PS.lightreaction.state transition'
'255617_at'	'1.1.30'	'PS.lightreaction.state transition'
'255488_at'	'1.1.30'	'PS.lightreaction.state transition'
'254335_at'	'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'
'258223_at'	'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'
'244937_at'	'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'
'244933_at'	'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'
'265569_at'	'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'
'244935_at'	'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'
'244936_at'	'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'
'244991_s_at'	'1.1.40'	'PS.lightreaction.cyclic electron flow-chlororespiration'
'phytol'	'1.1.1001'	'PS.lightreaction'
'chlorophyll a'	'1.1.1002'	'PS.lightreaction.binding proteins.Chlorophyll a'
'chlorophyll b'	'1.1.1003'	'PS.lightreaction.binding proteins.Chlorophyll b'
'decyl-plastoquinone'	'1.1.1004'	'PS.lightreaction.PS II.PQ'
'245417_at'	'1.2'	'PS.photorespiration'
'248802_at'	'1.2'	'PS.photorespiration'
'249658_s_at'	'1.2.1'	'PS.photorespiration.phosphoglycolate phosphatase'
'257004_s_at'	'1.2.2'	'PS.photorespiration.glycolate oxydase'
'258359_s_at'	'1.2.2'	'PS.photorespiration.glycolate oxydase'
'254630_at'	'1.2.2'	'PS.photorespiration.glycolate oxydase'
'263350_at'	'1.2.3'	'PS.photorespiration.aminotransferases peroxisomal'
'260309_at'	'1.2.3'	'PS.photorespiration.aminotransferases peroxisomal'
''	'1.2.4'	'PS.photorespiration.glycine cleavage'
'266892_at'	'1.2.4.1'	'PS.photorespiration.glycine cleavage.P subunit'
'253387_at'	'1.2.4.1'	'PS.photorespiration.glycine cleavage.P subunit'
'264394_at'	'1.2.4.2'	'PS.photorespiration.glycine cleavage.T subunit'
'260704_at'	'1.2.4.4'	'PS.photorespiration.glycine cleavage.H protein'
'266517_at'	'1.2.4.4'	'PS.photorespiration.glycine cleavage.H protein'
'266636_at'	'1.2.4.4'	'PS.photorespiration.glycine cleavage.H protein'
'253438_at'	'1.2.5'	'PS.photorespiration.serine hydroxymethyltransferase'
'260164_at'	'1.2.6'	'PS.photorespiration.hydroxypyruvate reductase'
'259524_at'	'1.2.6'	'PS.photorespiration.hydroxypyruvate reductase'
'267514_at'	'1.2.6'	'PS.photorespiration.hydroxypyruvate reductase'
'260014_at'	'1.2.6'	'PS.photorespiration.hydroxypyruvate reductase'
'260284_at'	'1.2.7'	'PS.photorespiration.glycerate kinase'
'glycerate'	'1.2.1001'	'PS.photorespiration.glycerate'
'glycolate'	'1.2.1002'	'PS.photorepiration.glycolate'
'glycine'	'1.2.1003'	'PS.photorepiration.glycine'
'serine'	'1.2.1004'	'PS.photorepiration.serine'
'glyoxylate'	'1.2.1005'	'PS.photorepiration.glyoxylate'
'hydroxypyruvate'	'1.2.1006'	'PS.photorepiration.hydroxypyruvate'
'251218_at'	'1.3'	'PS.calvin cyle'
'260529_at'	'1.3'	'PS.calvin cyle'
'245015_at'	'1.3.1'	'PS.calvin cyle.rubisco large subunit'
'264474_s_at'	'1.3.2'	'PS.calvin cyle.rubisco small subunit'
'256228_at'	'1.3.3'	'PS.calvin cyle.phosphoglycerate kinase'
'257699_at'	'1.3.3'	'PS.calvin cyle.phosphoglycerate kinase'
'257807_at'	'1.3.4'	'PS.calvin cyle.GAP'
'259625_at'	'1.3.4'	'PS.calvin cyle.GAP'
'262939_s_at'	'1.3.4'	'PS.calvin cyle.GAP'
'261197_at'	'1.3.4'	'PS.calvin cyle.GAP'
'264018_at'	'1.3.5'	'PS.calvin cycle.TPI'
'263761_at'	'1.3.6'	'PS.calvin cyle.aldolase'
'252929_at'	'1.3.6'	'PS.calvin cyle.aldolase'
'265735_at'	'1.3.6'	'PS.calvin cyle.aldolase'
'253971_at'	'1.3.6'	'PS.calvin cyle.aldolase'
'251885_at'	'1.3.7'	'PS.calvin cyle.FBPase'
'247278_at'	'1.3.7'	'PS.calvin cyle.FBPase'
'251396_at'	'1.3.8'	'PS.calvin cyle.transketolase'
'245089_at'	'1.3.8'	'PS.calvin cyle.transketolase'
'251762_at'	'1.3.9'	'PS.calvin cyle.seduheptulose bisphosphatase'
'249002_at'	'1.3.10'	'PS.calvin cyle.Rib5P Isomerase'
'259098_at'	'1.3.10'	'PS.calvin cyle.Rib5P Isomerase'
'247523_at'	'1.3.11'	'PS.calvin cyle.RPE'
'255720_at'	'1.3.12'	'PS.calvin cyle.PRK'
'265076_at'	'1.3.13'	'PS.calvin cyle.rubisco interacting'
'254502_at'	'1.3.13'	'PS.calvin cyle.rubisco interacting'
'245061_at'	'1.3.13'	'PS.calvin cyle.rubisco interacting'
'264069_at'	'1.3.13'	'PS.calvin cyle.rubisco interacting'
'254501_at'	'1.3.13'	'PS.calvin cyle.rubisco interacting'
'262648_at'	'1.3.13'	'PS.calvin cyle.rubisco interacting'
'262377_at'	'1.3.13'	'PS.calvin cyle.rubisco interacting'
"'ribulose-1,5-bisp'"	'1.3.1001'	"'PS.calvin cyle.ribulose-1,5-bisP'"
'glycerate-3-p'	'1.3.1002'	'PS.calvin cyle'
"'glycerate-1,3-bisp'"	'1.3.1003'	'PS.calvin cyle'
'glyceraldehyde-3-p'	'1.3.1004'	'PS.calvin cyle'
'dihydroxyacetone-p'	'1.3.1005'	'PS.calvin cyle'
"'fructose-1,6-bisp'"	'1.3.1006'	'PS.calvin cyle'
'fructose-6-p'	'1.3.1007'	'PS.calvin cyle'
''	'2'	'major CHO metabolism'
''	'2.1'	'major CHO metabolism.synthesis'
''	'2.1.1'	'major CHO metabolism.synthesis.sucrose'
'255016_at'	'2.1.1.1'	'major CHO metabolism.synthesis.sucrose.SPS'
'245904_at'	'2.1.1.1'	'major CHO metabolism.synthesis.sucrose.SPS'
'246076_at'	'2.1.1.1'	'major CHO metabolism.synthesis.sucrose.SPS'
'261169_at'	'2.1.1.1'	'major CHO metabolism.synthesis.sucrose.SPS'
'251875_at'	'2.1.1.2'	'major CHO metabolism.synthesis.sucrose.SPP'
'263954_at'	'2.1.1.2'	'major CHO metabolism.synthesis.sucrose.SPP'
'256681_at'	'2.1.1.2'	'major CHO metabolism.synthesis.sucrose.SPP'
'260517_at'	'2.1.1.2'	'major CHO metabolism.synthesis.sucrose.SPP'
'260837_at'	'2.1.1.3'	'major CHO metabolism.synthesis.sucrose.FBPase'
'fructose-6-p'	'2.1.1.1001'	'major CHO metabolism.synthesis.sucrose'
'glucose-6-p'	'2.1.1.1002'	'major CHO metabolism.synthesis.sucrose'
'glucose-1-p'	'2.1.1.1003'	'major CHO metabolism.synthesis.sucrose'
"'glucose-1,6-bisp'"	'2.1.1.1004'	'major CHO metabolism.synthesis.sucrose'
"'fructose-2,6-bisp'"	'2.1.1.1005'	'major CHO metabolism.synthesis.sucrose'
'udp-glucose'	'2.1.1.1006'	'major CHO metabolism.synthesis.sucrose'
'sucrose-6-p'	'2.1.1.1007'	'major CHO metabolism.synthesis.sucrose'
'sucrose'	'2.1.1.1008'	'major CHO metabolism.synthesis.sucrose'
'256940_at'	'2.1.2'	'major CHO metabolism.synthesis.starch'
'257757_at'	'2.1.2'	'major CHO metabolism.synthesis.starch'
'256350_at'	'2.1.2'	'major CHO metabolism.synthesis.starch'
'264476_at'	'2.1.2'	'major CHO metabolism.synthesis.starch'
'263201_at'	'2.1.2.1'	'major CHO metabolism.synthesis.starch.AGPase'
'263544_at'	'2.1.2.1'	'major CHO metabolism.synthesis.starch.AGPase'
'262174_at'	'2.1.2.1'	'major CHO metabolism.synthesis.starch.AGPase'
'248687_at'	'2.1.2.1'	'major CHO metabolism.synthesis.starch.AGPase'
'263619_at'	'2.1.2.1'	'major CHO metabolism.synthesis.starch.AGPase'
'249927_at'	'2.1.2.1'	'major CHO metabolism.synthesis.starch.AGPase'
'252888_at'	'2.1.2.1'	'major CHO metabolism.synthesis.starch.AGPase'
'261642_at'	'2.1.2.1'	'major CHO metabolism.synthesis.starch.AGPase'
'254659_at'	'2.1.2.2'	'major CHO metabolism.synthesis.starch.starch synthase'
'262809_at'	'2.1.2.2'	'major CHO metabolism.synthesis.starch.starch synthase'
'261191_at'	'2.1.2.2'	'major CHO metabolism.synthesis.starch.starch synthase'
'249785_at'	'2.1.2.2'	'major CHO metabolism.synthesis.starch.starch synthase'
'259277_at'	'2.1.2.2'	'major CHO metabolism.synthesis.starch.starch synthase'
'247163_at'	'2.1.2.2'	'major CHO metabolism.synthesis.starch.starch synthase'
'250906_at'	'2.1.2.3'	'major CHO metabolism.synthesis.starch.starch branching'
'263912_at'	'2.1.2.3'	'major CHO metabolism.synthesis.starch.starch branching'
'257667_at'	'2.1.2.3'	'major CHO metabolism.synthesis.starch.starch branching'
'267356_at'	'2.1.2.4'	'major CHO metabolism.synthesis.starch.debranching'
'245712_at'	'2.1.2.4'	'major CHO metabolism.synthesis.starch.debranching'
'255070_at'	'2.1.2.4'	'major CHO metabolism.synthesis.starch.debranching'
'264360_at'	'2.1.2.4'	'major CHO metabolism.synthesis.starch.debranching'
'250029_at'	'2.1.2.60'	'major CHO metabolism.synthesis.starch.ADP Glucose Phosphorylase'
'fructose-6-p'	'2.1.2.1001'	'major CHO metabolism.synthesis.starch'
'glucose-6-p'	'2.1.2.1002'	'major CHO metabolism.synthesis.starch'
'glucose-1-p'	'2.1.2.1003'	'major CHO metabolism.synthesis.starch'
'adp-glucose'	'2.1.2.1004'	'major CHO metabolism.synthesis.starch'
''	'2.2'	'major CHO metabolism.degradation'
''	'2.2.1'	'major CHO metabolism.degradation.sucrose'
'251491_at'	'2.2.1.1'	'major CHO metabolism.degradation.sucrose.fructokinase'
'260947_at'	'2.2.1.1'	'major CHO metabolism.degradation.sucrose.fructokinase'
'255806_at'	'2.2.1.1'	'major CHO metabolism.degradation.sucrose.fructokinase'
'260107_at'	'2.2.1.1'	'major CHO metabolism.degradation.sucrose.fructokinase'
'251935_at'	'2.2.1.1'	'major CHO metabolism.degradation.sucrose.fructokinase'
'260343_at'	'2.2.1.1'	'major CHO metabolism.degradation.sucrose.fructokinase'
'262460_s_at'	'2.2.1.1'	'major CHO metabolism.degradation.sucrose.fructokinase'
'263250_at'	'2.2.1.1'	'major CHO metabolism.degradation.sucrose.fructokinase'
'248381_at'	'2.2.1.1'	'major CHO metabolism.degradation.sucrose.fructokinase'
''	'2.2.1.3'	'major CHO metabolism.degradation.sucrose.invertases'
'264200_at'	'2.2.1.3.1'	'major CHO metabolism.degradation.sucrose.invertases.neutral'
'255038_at'	'2.2.1.3.1'	'major CHO metabolism.degradation.sucrose.invertases.neutral'
'245681_at'	'2.2.1.3.1'	'major CHO metabolism.degradation.sucrose.invertases.neutral'
'253224_at'	'2.2.1.3.1'	'major CHO metabolism.degradation.sucrose.invertases.neutral'
'258732_at'	'2.2.1.3.1'	'major CHO metabolism.degradation.sucrose.invertases.neutral'
'258507_at'	'2.2.1.3.1'	'major CHO metabolism.degradation.sucrose.invertases.neutral'
'249898_at'	'2.2.1.3.1'	'major CHO metabolism.degradation.sucrose.invertases.neutral'
'260175_at'	'2.2.1.3.1'	'major CHO metabolism.degradation.sucrose.invertases.neutral'
'262038_at'	'2.2.1.3.1'	'major CHO metabolism.degradation.sucrose.invertases.neutral'
'263905_at'	'2.2.1.3.2'	'major CHO metabolism.degradation.sucrose.invertases.cell wall'
'256779_at'	'2.2.1.3.2'	'major CHO metabolism.degradation.sucrose.invertases.cell wall'
'252052_at'	'2.2.1.3.2'	'major CHO metabolism.degradation.sucrose.invertases.cell wall'
'256787_at'	'2.2.1.3.2'	'major CHO metabolism.degradation.sucrose.invertases.cell wall'
'260969_at'	'2.2.1.3.3'	'major CHO metabolism.degradation.sucrose.invertases.vacuolar'
'265118_at'	'2.2.1.3.3'	'major CHO metabolism.degradation.sucrose.invertases.vacuolar'
'257877_at'	'2.2.1.3.30'	'major CHO metabolism.degradation.sucrose.invertases.inhibitors'
'253705_at'	'2.2.1.4'	'major CHO metabolism.degradation.sucrose.hexokinase'
'253069_at'	'2.2.1.4'	'major CHO metabolism.degradation.sucrose.hexokinase'
'261851_at'	'2.2.1.4'	'major CHO metabolism.degradation.sucrose.hexokinase'
'266702_at'	'2.2.1.4'	'major CHO metabolism.degradation.sucrose.hexokinase'
'257124_at'	'2.2.1.4'	'major CHO metabolism.degradation.sucrose.hexokinase'
'245998_at'	'2.2.1.5'	'major CHO metabolism.degradation.sucrose.Susy'
'249633_at'	'2.2.1.5'	'major CHO metabolism.degradation.sucrose.Susy'
'252746_at'	'2.2.1.5'	'major CHO metabolism.degradation.sucrose.Susy'
'248647_at'	'2.2.1.5'	'major CHO metabolism.degradation.sucrose.Susy'
'255521_at'	'2.2.1.5'	'major CHO metabolism.degradation.sucrose.Susy'
'245725_at'	'2.2.1.5'	'major CHO metabolism.degradation.sucrose.Susy'
'248035_at'	'2.2.1.99'	'major CHO metabolism.degradation.sucrose.misc'
'253980_at'	'2.2.1.99'	'major CHO metabolism.degradation.sucrose.misc'
'fructose'	'2.2.1.1001'	'major CHO metabolism.degradation.sucrose'
'glucose'	'2.2.1.1002'	'major CHO metabolism.degradation.sucrose'
'256676_at'	'2.2.2'	'major CHO metabolism.degradation.starch'
'248029_at'	'2.2.2.1'	'major CHO metabolism.degradation.starch.starch cleavage'
'248997_at'	'2.2.2.1'	'major CHO metabolism.degradation.starch.starch cleavage'
'245275_at'	'2.2.2.1'	'major CHO metabolism.degradation.starch.starch cleavage'
'266914_at'	'2.2.2.1'	'major CHO metabolism.degradation.starch.starch cleavage'
'256861_at'	'2.2.2.1'	'major CHO metabolism.degradation.starch.starch cleavage'
